,Element,Line,Type,Energy
706,Xe,"Lb2,15",Emission Line,4716.5
795,Ce,Ln,Emission Line,4728.0
729,Cs,Lb6,Emission Line,4779.7
677,I,Lg1,Emission Line,4801.4
870,Pm,Ll,Emission Line,4809.0
799,Ce,La2,Emission Line,4820.6
748,Ba,Lb1,Emission Line,4828.3
649,Te,Lg2,Emission Line,4835.7
650,Te,Lg3,Emission Line,4835.7
128,V,Ka3,Emission Line,4838.3
800,Ce,La1,Emission Line,4839.2
743,Ba,Lb4,Emission Line,4852.0
744,Ba,Lb3,Emission Line,4926.0
819,Pr,Ln,Emission Line,4929.0
730,Cs,"Lb2,15",Emission Line,4932.2
118,Ti,Kb3,Emission Line,4933.4
119,Ti,Kb1,Emission Line,4933.4
129,V,Ka2,Emission Line,4945.2
130,V,Ka1,Emission Line,4952.9
120,Ti,Kb5,Emission Line,4964.0
894,Sm,Ll,Emission Line,4993.0
753,Ba,Lb6,Emission Line,4993.5
823,Pr,La2,Emission Line,5015.7
824,Pr,La1,Emission Line,5035.2
701,Xe,Lg1,Emission Line,5037.5
772,La,Lb1,Emission Line,5038.0
767,La,Lb4,Emission Line,5057.0
674,I,Lg3,Emission Line,5065.0
673,I,Lg2,Emission Line,5065.0
768,La,Lb3,Emission Line,5138.0
843,Nd,Ln,Emission Line,5147.0
754,Ba,"Lb2,15",Emission Line,5154.4
918,Eu,Ll,Emission Line,5177.0
847,Nd,La2,Emission Line,5204.7
777,La,Lb6,Emission Line,5208.3
848,Nd,La1,Emission Line,5227.6
796,Ce,Lb1,Emission Line,5261.6
791,Ce,Lb4,Emission Line,5274.0
725,Cs,Lg1,Emission Line,5279.2
141,Cr,Ka3,Emission Line,5293.0
697,Xe,Lg2,Emission Line,5306.3
698,Xe,Lg3,Emission Line,5307.5
792,Ce,Lb3,Emission Line,5361.0
942,Gd,Ll,Emission Line,5362.0
867,Pm,Ln,Emission Line,5363.0
778,La,"Lb2,15",Emission Line,5377.7
142,Cr,Ka2,Emission Line,5405.2
871,Pm,La2,Emission Line,5407.0
143,Cr,Ka1,Emission Line,5414.9
132,V,Kb1,Emission Line,5427.8
131,V,Kb3,Emission Line,5427.8
872,Pm,La1,Emission Line,5432.0
801,Ce,Lb6,Emission Line,5432.0
133,V,Kb5,Emission Line,5463.0
820,Pr,Lb1,Emission Line,5491.7
815,Pr,Lb4,Emission Line,5498.0
749,Ba,Lg1,Emission Line,5531.4
721,Cs,Lg2,Emission Line,5541.6
966,Tb,Ll,Emission Line,5546.0
722,Cs,Lg3,Emission Line,5552.7
891,Sm,Ln,Emission Line,5589.0
816,Pr,Lb3,Emission Line,5593.0
895,Sm,La2,Emission Line,5605.1
802,Ce,"Lb2,15",Emission Line,5614.0
896,Sm,La1,Emission Line,5632.6
825,Pr,Lb6,Emission Line,5659.5
844,Nd,Lb1,Emission Line,5718.7
839,Nd,Lb4,Emission Line,5723.0
990,Dy,Ll,Emission Line,5743.0
154,Mn,Ka3,Emission Line,5769.9
773,La,Lg1,Emission Line,5785.7
745,Ba,Lg2,Emission Line,5797.0
746,Ba,Lg3,Emission Line,5810.4
915,Eu,Ln,Emission Line,5817.0
919,Eu,La2,Emission Line,5818.4
840,Nd,Lb3,Emission Line,5829.0
826,Pr,"Lb2,15",Emission Line,5848.9
920,Eu,La1,Emission Line,5849.5
849,Nd,Lb6,Emission Line,5888.8
155,Mn,Ka2,Emission Line,5889.1
156,Mn,Ka1,Emission Line,5900.3
1014,Ho,Ll,Emission Line,5943.0
145,Cr,Kb1,Emission Line,5946.8
144,Cr,Kb3,Emission Line,5946.8
863,Pm,Lb4,Emission Line,5956.6
868,Pm,Lb1,Emission Line,5961.0
146,Cr,Kb5,Emission Line,5987.0
943,Gd,La2,Emission Line,6021.1
939,Gd,Ln,Emission Line,6049.0
944,Gd,La1,Emission Line,6053.4
797,Ce,Lg1,Emission Line,6055.0
769,La,Lg2,Emission Line,6060.2
770,La,Lg3,Emission Line,6070.0
864,Pm,Lb3,Emission Line,6071.0
850,Nd,"Lb2,15",Emission Line,6087.5
873,Pm,Lb6,Emission Line,6128.0
1038,Er,Ll,Emission Line,6152.0
887,Sm,Lb4,Emission Line,6196.0
892,Sm,Lb1,Emission Line,6201.1
967,Tb,La2,Emission Line,6237.1
167,Fe,Ka3,Emission Line,6267.4
968,Tb,La1,Emission Line,6272.9
963,Tb,Ln,Emission Line,6284.0
888,Sm,Lb3,Emission Line,6317.2
793,Ce,Lg2,Emission Line,6324.8
821,Pr,Lg1,Emission Line,6324.9
874,Pm,"Lb2,15",Emission Line,6339.0
1062,Tm,Ll,Emission Line,6341.0
794,Ce,Lg3,Emission Line,6341.5
897,Sm,Lb6,Emission Line,6368.8
168,Fe,Ka2,Emission Line,6392.1
169,Fe,Ka1,Emission Line,6405.2
911,Eu,Lb4,Emission Line,6438.0
991,Dy,La2,Emission Line,6457.0
916,Eu,Lb1,Emission Line,6458.4
158,Mn,Kb1,Emission Line,6491.8
157,Mn,Kb3,Emission Line,6491.8
992,Dy,La1,Emission Line,6498.0
987,Dy,Ln,Emission Line,6534.0
159,Mn,Kb5,Emission Line,6537.0
1086,Yb,Ll,Emission Line,6546.0
912,Eu,Lb3,Emission Line,6571.0
898,Sm,"Lb2,15",Emission Line,6587.0
817,Pr,Lg2,Emission Line,6598.7
845,Nd,Lg1,Emission Line,6601.5
921,Eu,Lb6,Emission Line,6617.0
818,Pr,Lg3,Emission Line,6617.4
1015,Ho,La2,Emission Line,6679.0
935,Gd,Lb4,Emission Line,6688.0
940,Gd,Lb1,Emission Line,6708.1
1016,Ho,La1,Emission Line,6720.0
1110,Lu,Ll,Emission Line,6753.0
180,Co,Ka3,Emission Line,6783.9
1011,Ho,Ln,Emission Line,6790.0
936,Gd,Lb3,Emission Line,6832.0
922,Eu,"Lb2,15",Emission Line,6844.0
945,Gd,Lb6,Emission Line,6864.4
841,Nd,Lg2,Emission Line,6882.7
869,Pm,Lg1,Emission Line,6893.0
842,Nd,Lg3,Emission Line,6901.4
1039,Er,La2,Emission Line,6905.0
181,Co,Ka2,Emission Line,6915.8
182,Co,Ka1,Emission Line,6930.9
959,Tb,Lb4,Emission Line,6940.0
1040,Er,La1,Emission Line,6949.0
1134,Hf,Ll,Emission Line,6960.0
964,Tb,Lb1,Emission Line,6975.1
1035,Er,Ln,Emission Line,7058.0
171,Fe,Kb1,Emission Line,7059.3
170,Fe,Kb3,Emission Line,7059.3
960,Tb,Lb3,Emission Line,7097.0
946,Gd,"Lb2,15",Emission Line,7100.4
172,Fe,Kb5,Emission Line,7110.0
969,Tb,Lb6,Emission Line,7118.0
1063,Tm,La2,Emission Line,7133.0
1158,Ta,Ll,Emission Line,7173.0
1064,Tm,La1,Emission Line,7180.0
893,Sm,Lg1,Emission Line,7183.0
865,Pm,Lg2,Emission Line,7186.0
866,Pm,Lg3,Emission Line,7186.0
983,Dy,Lb4,Emission Line,7204.0
988,Dy,Lb1,Emission Line,7248.0
1059,Tm,Ln,Emission Line,7310.0
193,Ni,Ka3,Emission Line,7324.4
970,Tb,"Lb2,15",Emission Line,7363.5
1087,Yb,La2,Emission Line,7368.0
984,Dy,Lb3,Emission Line,7370.0
993,Dy,Lb6,Emission Line,7375.8
1182,W,Ll,Emission Line,7387.0
1088,Yb,La1,Emission Line,7416.0
194,Ni,Ka2,Emission Line,7463.0
1007,Ho,Lb4,Emission Line,7471.0
889,Sm,Lg2,Emission Line,7471.4
195,Ni,Ka1,Emission Line,7480.3
917,Eu,Lg1,Emission Line,7484.0
890,Sm,Lg3,Emission Line,7489.6
1012,Ho,Lb1,Emission Line,7526.0
1083,Yb,Ln,Emission Line,7580.0
1206,Re,Ll,Emission Line,7603.0
1111,Lu,La2,Emission Line,7605.0
994,Dy,"Lb2,15",Emission Line,7636.4
1017,Ho,Lb6,Emission Line,7638.6
184,Co,Kb1,Emission Line,7649.1
183,Co,Kb3,Emission Line,7650.1
1008,Ho,Lb3,Emission Line,7653.0
1112,Lu,La1,Emission Line,7655.0
185,Co,Kb5,Emission Line,7706.0
1031,Er,Lb4,Emission Line,7745.0
913,Eu,Lg2,Emission Line,7768.0
941,Gd,Lg1,Emission Line,7787.4
914,Eu,Lg3,Emission Line,7795.0
1036,Er,Lb1,Emission Line,7811.0
1230,Os,Ll,Emission Line,7822.0
1135,Hf,La2,Emission Line,7845.0
1107,Lu,Ln,Emission Line,7858.0
206,Cu,Ka3,Emission Line,7882.3
1136,Hf,La1,Emission Line,7899.0
1041,Er,Lb6,Emission Line,7908.2
1018,Ho,"Lb2,15",Emission Line,7911.0
1032,Er,Lb3,Emission Line,7939.0
1055,Tm,Lb4,Emission Line,8026.0
207,Cu,Ka2,Emission Line,8026.7
1254,Ir,Ll,Emission Line,8041.0
208,Cu,Ka1,Emission Line,8046.3
1159,Ta,La2,Emission Line,8088.0
937,Gd,Lg2,Emission Line,8090.0
965,Tb,Lg1,Emission Line,8101.5
1060,Tm,Lb1,Emission Line,8102.0
938,Gd,Lg3,Emission Line,8105.0
1131,Hf,Ln,Emission Line,8138.0
1160,Ta,La1,Emission Line,8146.0
1065,Tm,Lb6,Emission Line,8177.1
1042,Er,"Lb2,15",Emission Line,8190.4
1056,Tm,Lb3,Emission Line,8231.0
196,Ni,Kb3,Emission Line,8265.0
197,Ni,Kb1,Emission Line,8266.8
1278,Pt,Ll,Emission Line,8268.0
1079,Yb,Lb4,Emission Line,8313.0
198,Ni,Kb5,Emission Line,8329.0
1183,W,La2,Emission Line,8335.0
961,Tb,Lg2,Emission Line,8385.6
1184,W,La1,Emission Line,8398.0
1084,Yb,Lb1,Emission Line,8402.0
962,Tb,Lg3,Emission Line,8423.9
989,Dy,Lg1,Emission Line,8427.4
1155,Ta,Ln,Emission Line,8428.0
219,Zn,Ka3,Emission Line,8462.8
1089,Yb,Lb6,Emission Line,8463.5
1066,Tm,"Lb2,15",Emission Line,8472.5
1303,Au,Ll,Emission Line,8494.0
1080,Yb,Lb3,Emission Line,8536.0
1207,Re,La2,Emission Line,8586.0
1103,Lu,Lb4,Emission Line,8606.0
220,Zn,Ka2,Emission Line,8614.1
221,Zn,Ka1,Emission Line,8637.2
1208,Re,La1,Emission Line,8652.0
1108,Lu,Lb1,Emission Line,8710.0
985,Dy,Lg2,Emission Line,8712.5
1329,Hg,Ll,Emission Line,8722.0
1179,W,Ln,Emission Line,8724.0
1113,Lu,Lb6,Emission Line,8737.2
1090,Yb,"Lb2,15",Emission Line,8752.8
986,Dy,Lg3,Emission Line,8752.8
1013,Ho,Lg1,Emission Line,8758.0
1231,Os,La2,Emission Line,8840.0
1104,Lu,Lb3,Emission Line,8846.0
209,Cu,Kb3,Emission Line,8901.7
210,Cu,Kb1,Emission Line,8903.9
1127,Hf,Lb4,Emission Line,8906.0
1232,Os,La1,Emission Line,8911.0
1355,Tl,Ll,Emission Line,8954.0
211,Cu,Kb5,Emission Line,8974.0
1137,Hf,Lb6,Emission Line,9023.0
1132,Hf,Lb1,Emission Line,9023.0
1203,Re,Ln,Emission Line,9027.0
1114,Lu,"Lb2,15",Emission Line,9037.9
1009,Ho,Lg2,Emission Line,9050.5
234,Ga,Ka3,Emission Line,9068.0
1010,Ho,Lg3,Emission Line,9085.8
1037,Er,Lg1,Emission Line,9096.4
1255,Ir,La2,Emission Line,9099.0
1128,Hf,Lb3,Emission Line,9164.0
1256,Ir,La1,Emission Line,9175.0
1381,Pb,Ll,Emission Line,9184.0
1151,Ta,Lb4,Emission Line,9213.0
235,Ga,Ka2,Emission Line,9223.8
236,Ga,Ka1,Emission Line,9250.6
1161,Ta,Lb6,Emission Line,9317.6
1227,Os,Ln,Emission Line,9336.0
1138,Hf,"Lb2,15",Emission Line,9341.0
1156,Ta,Lb1,Emission Line,9343.0
1279,Pt,La2,Emission Line,9362.0
1033,Er,Lg2,Emission Line,9384.8
1407,Bi,Ll,Emission Line,9420.0
1034,Er,Lg3,Emission Line,9430.8
1061,Tm,Lg1,Emission Line,9441.5
1280,Pt,La1,Emission Line,9442.0
1152,Ta,Lb3,Emission Line,9488.0
1175,W,Lb4,Emission Line,9525.0
222,Zn,Kb3,Emission Line,9567.6
223,Zn,Kb1,Emission Line,9570.4
1185,W,Lb6,Emission Line,9612.9
1304,Au,La2,Emission Line,9628.0
1162,Ta,"Lb2,15",Emission Line,9643.1
224,Zn,Kb5,Emission Line,9648.8
1251,Ir,Ln,Emission Line,9650.0
1433,Po,Ll,Emission Line,9665.0
1180,W,Lb1,Emission Line,9672.0
250,Ge,Ka3,Emission Line,9688.4
1305,Au,La1,Emission Line,9713.0
1057,Tm,Lg2,Emission Line,9730.1
1058,Tm,Lg3,Emission Line,9783.4
1085,Yb,Lg1,Emission Line,9786.8
1176,W,Lb3,Emission Line,9819.0
1199,Re,Lb4,Emission Line,9845.0
251,Ge,Ka2,Emission Line,9854.9
252,Ge,Ka1,Emission Line,9886.0
1459,At,Ll,Emission Line,9897.0
1330,Hg,La2,Emission Line,9899.0
1209,Re,Lb6,Emission Line,9909.6
1186,W,"Lb2,15",Emission Line,9951.1
1275,Pt,Ln,Emission Line,9977.0
1331,Hg,La1,Emission Line,9989.0
1204,Re,Lb1,Emission Line,10010.0
1081,Yb,Lg2,Emission Line,10097.3
1485,Rn,Ll,Emission Line,10137.0
1109,Lu,Lg1,Emission Line,10142.9
1082,Yb,Lg3,Emission Line,10146.3
1200,Re,Lb3,Emission Line,10160.0
1356,Tl,La2,Emission Line,10173.0
1223,Os,Lb4,Emission Line,10176.0
1233,Os,Lb6,Emission Line,10212.8
1210,Re,"Lb2,15",Emission Line,10261.1
237,Ga,Kb3,Emission Line,10263.5
238,Ga,Kb1,Emission Line,10267.0
1357,Tl,La1,Emission Line,10269.0
1299,Au,Ln,Emission Line,10309.0
267,As,Ka3,Emission Line,10340.0
239,Ga,Kb5,Emission Line,10348.3
1228,Os,Lb1,Emission Line,10354.0
1511,Fr,Ll,Emission Line,10379.0
1382,Pb,La2,Emission Line,10449.0
1105,Lu,Lg2,Emission Line,10457.6
268,As,Ka2,Emission Line,10507.9
1247,Ir,Lb4,Emission Line,10510.0
1106,Lu,Lg3,Emission Line,10510.8
1224,Os,Lb3,Emission Line,10511.0
1133,Hf,Lg1,Emission Line,10519.0
1257,Ir,Lb6,Emission Line,10523.9
269,As,Ka1,Emission Line,10543.4
1383,Pb,La1,Emission Line,10551.0
1234,Os,"Lb2,15",Emission Line,10577.9
1537,Ra,Ll,Emission Line,10622.0
1325,Hg,Ln,Emission Line,10647.0
1252,Ir,Lb1,Emission Line,10708.0
1408,Bi,La2,Emission Line,10731.0
1129,Hf,Lg2,Emission Line,10832.8
1281,Pt,Lb6,Emission Line,10838.6
1409,Bi,La1,Emission Line,10839.0
1271,Pt,Lb4,Emission Line,10853.0
1248,Ir,Lb3,Emission Line,10868.0
1563,Ac,Ll,Emission Line,10869.0
1130,Hf,Lg3,Emission Line,10890.3
1157,Ta,Lg1,Emission Line,10898.1
1258,Ir,"Lb2,15",Emission Line,10903.1
253,Ge,Kb3,Emission Line,10978.1
254,Ge,Kb1,Emission Line,10982.2
1351,Tl,Ln,Emission Line,10994.0
285,Se,Ka3,Emission Line,11006.0
1434,Po,La2,Emission Line,11016.0
1276,Pt,Lb1,Emission Line,11071.0
255,Ge,Kb5,Emission Line,11073.2
1589,Th,Ll,Emission Line,11118.0
1435,Po,La1,Emission Line,11131.0
1306,Au,Lb6,Emission Line,11156.9
286,Se,Ka2,Emission Line,11183.7
1295,Au,Lb4,Emission Line,11205.0
1153,Ta,Lg2,Emission Line,11218.6
287,Se,Ka1,Emission Line,11224.1
1282,Pt,"Lb2,15",Emission Line,11232.4
1272,Pt,Lb3,Emission Line,11235.0
1154,Ta,Lg3,Emission Line,11281.1
1181,W,Lg1,Emission Line,11288.1
1460,At,La2,Emission Line,11305.0
1377,Pb,Ln,Emission Line,11349.0
1615,Pa,Ll,Emission Line,11366.0
1461,At,La1,Emission Line,11427.0
1300,Au,Lb1,Emission Line,11443.0
1332,Hg,Lb6,Emission Line,11481.8
1321,Hg,Lb4,Emission Line,11560.0
1307,Au,"Lb2,15",Emission Line,11565.8
1486,Rn,La2,Emission Line,11597.0
1177,W,Lg2,Emission Line,11609.6
1296,Au,Lb3,Emission Line,11610.0
1641,U,Ll,Emission Line,11618.0
1178,W,Lg3,Emission Line,11676.4
1205,Re,Lg1,Emission Line,11685.1
303,Br,Ka3,Emission Line,11692.0
1403,Bi,Ln,Emission Line,11712.0
270,As,Kb3,Emission Line,11720.8
271,As,Kb1,Emission Line,11725.8
1487,Rn,La1,Emission Line,11727.0
1358,Tl,Lb6,Emission Line,11811.8
1326,Hg,Lb1,Emission Line,11824.0
272,As,Kb5,Emission Line,11825.3
273,As,Kb2,Emission Line,11864.0
1667,Np,Ll,Emission Line,11871.0
304,Br,Ka2,Emission Line,11878.0
1512,Fr,La2,Emission Line,11895.0
1333,Hg,"Lb2,15",Emission Line,11905.8
1308,Au,Lb5,Emission Line,11914.0
305,Br,Ka1,Emission Line,11924.0
1347,Tl,Lb4,Emission Line,11931.0
1322,Hg,Lb3,Emission Line,11992.0
1201,Re,Lg2,Emission Line,12008.3
1513,Fr,La1,Emission Line,12031.0
1202,Re,Lg3,Emission Line,12080.2
1229,Os,Lg1,Emission Line,12091.9
1429,Po,Ln,Emission Line,12095.0
1693,Pu,Ll,Emission Line,12124.0
1384,Pb,Lb6,Emission Line,12143.2
1538,Ra,La2,Emission Line,12196.0
1352,Tl,Lb1,Emission Line,12213.0
1359,Tl,"Lb2,15",Emission Line,12252.3
1334,Hg,Lb5,Emission Line,12274.4
1373,Pb,Lb4,Emission Line,12307.0
1539,Ra,La1,Emission Line,12339.0
1719,Am,Ll,Emission Line,12377.0
1348,Tl,Lb3,Emission Line,12390.0
321,Kr,Ka3,Emission Line,12405.0
1225,Os,Lg2,Emission Line,12418.9
1455,At,Ln,Emission Line,12468.0
1410,Bi,Lb6,Emission Line,12480.0
288,Se,Kb3,Emission Line,12491.5
289,Se,Kb1,Emission Line,12497.3
1226,Os,Lg3,Emission Line,12497.3
1564,Ac,La2,Emission Line,12501.0
1253,Ir,Lg1,Emission Line,12512.1
322,Kr,Ka2,Emission Line,12595.1
1385,Pb,"Lb2,15",Emission Line,12600.7
290,Se,Kb5,Emission Line,12602.5
1378,Pb,Lb1,Emission Line,12614.0
1745,Cm,Ll,Emission Line,12633.0
1360,Tl,Lb5,Emission Line,12643.3
323,Kr,Ka1,Emission Line,12647.6
1565,Ac,La1,Emission Line,12652.0
291,Se,Kb2,Emission Line,12655.0
1399,Bi,Lb4,Emission Line,12692.0
1374,Pb,Lb3,Emission Line,12795.0
1590,Th,La2,Emission Line,12809.0
1436,Po,Lb6,Emission Line,12819.0
1249,Ir,Lg2,Emission Line,12841.2
1481,Rn,Ln,Emission Line,12855.0
1771,Bk,Ll,Emission Line,12890.0
1250,Ir,Lg3,Emission Line,12923.2
1277,Pt,Lg1,Emission Line,12941.4
1411,Bi,"Lb2,15",Emission Line,12955.0
1591,Th,La1,Emission Line,12968.0
1386,Pb,Lb5,Emission Line,13014.3
1404,Bi,Lb1,Emission Line,13023.0
1425,Po,Lb4,Emission Line,13085.0
1616,Pa,La2,Emission Line,13122.0
339,Rb,Ka3,Emission Line,13135.0
1797,Cf,Ll,Emission Line,13146.0
1462,At,Lb6,Emission Line,13172.0
1400,Bi,Lb3,Emission Line,13211.0
1507,Fr,Ln,Emission Line,13255.0
1273,Pt,Lg2,Emission Line,13270.9
306,Br,Kb3,Emission Line,13285.0
1617,Pa,La1,Emission Line,13291.0
307,Br,Kb1,Emission Line,13292.0
1437,Po,"Lb2,15",Emission Line,13314.0
340,Rb,Ka2,Emission Line,13336.0
1274,Pt,Lg3,Emission Line,13360.6
1301,Au,Lg1,Emission Line,13380.8
1412,Bi,Lb5,Emission Line,13392.1
341,Rb,Ka1,Emission Line,13396.0
308,Br,Kb5,Emission Line,13404.0
1642,U,La2,Emission Line,13438.0
1430,Po,Lb1,Emission Line,13446.0
309,Br,Kb2,Emission Line,13471.0
1451,At,Lb4,Emission Line,13485.0
1488,Rn,Lb6,Emission Line,13522.0
1643,U,La1,Emission Line,13614.0
1426,Po,Lb3,Emission Line,13637.0
1533,Ra,Ln,Emission Line,13662.0
1463,At,"Lb2,15",Emission Line,13681.0
1297,Au,Lg2,Emission Line,13710.3
1302,Au,Lg6,Emission Line,13729.0
1668,Np,La2,Emission Line,13761.0
1438,Po,Lb5,Emission Line,13783.0
1298,Au,Lg3,Emission Line,13806.7
1327,Hg,Lg1,Emission Line,13830.8
1456,At,Lb1,Emission Line,13876.0
1514,Fr,Lb6,Emission Line,13878.0
357,Sr,Ka3,Emission Line,13889.0
1477,Rn,Lb4,Emission Line,13890.0
1669,Np,La1,Emission Line,13946.0
1489,Rn,"Lb2,15",Emission Line,14052.0
1452,At,Lb3,Emission Line,14067.0
1559,Ac,Ln,Emission Line,14081.0
1694,Pu,La2,Emission Line,14087.0
358,Sr,Ka2,Emission Line,14098.0
324,Kr,Kb3,Emission Line,14103.8
325,Kr,Kb1,Emission Line,14111.6
1323,Hg,Lg2,Emission Line,14158.8
359,Sr,Ka1,Emission Line,14165.0
1464,At,Lb5,Emission Line,14174.0
1328,Hg,Lg6,Emission Line,14199.4
326,Kr,Kb5,Emission Line,14231.0
1540,Ra,Lb6,Emission Line,14236.0
1324,Hg,Lg3,Emission Line,14262.4
1695,Pu,La1,Emission Line,14282.0
1353,Tl,Lg1,Emission Line,14292.3
327,Kr,Kb2,Emission Line,14311.9
1503,Fr,Lb4,Emission Line,14312.0
1482,Rn,Lb1,Emission Line,14315.0
1720,Am,La2,Emission Line,14414.0
1515,Fr,"Lb2,15",Emission Line,14428.0
1478,Rn,Lb3,Emission Line,14511.0
1585,Th,Ln,Emission Line,14511.0
1490,Rn,Lb5,Emission Line,14571.0
1566,Ac,Lb6,Emission Line,14602.0
1721,Am,La1,Emission Line,14620.0
1349,Tl,Lg2,Emission Line,14626.5
375,Y,Ka3,Emission Line,14665.0
1354,Tl,Lg6,Emission Line,14683.3
1350,Tl,Lg3,Emission Line,14737.5
1746,Cm,La2,Emission Line,14746.0
1529,Ra,Lb4,Emission Line,14747.0
1379,Pb,Lg1,Emission Line,14765.7
1508,Fr,Lb1,Emission Line,14771.0
1541,Ra,"Lb2,15",Emission Line,14808.0
376,Y,Ka2,Emission Line,14882.0
1611,Pa,Ln,Emission Line,14947.0
342,Rb,Kb3,Emission Line,14951.3
377,Y,Ka1,Emission Line,14958.0
343,Rb,Kb1,Emission Line,14960.9
1747,Cm,La1,Emission Line,14961.0
1592,Th,Lb6,Emission Line,14970.0
1516,Fr,Lb5,Emission Line,14973.0
1504,Fr,Lb3,Emission Line,14976.0
1772,Bk,La2,Emission Line,15082.0
344,Rb,Kb5,Emission Line,15087.0
1375,Pb,Lg2,Emission Line,15099.1
1380,Pb,Lg6,Emission Line,15179.3
345,Rb,Kb2,Emission Line,15183.7
1555,Ac,Lb4,Emission Line,15184.0
1567,Ac,"Lb2,15",Emission Line,15196.0
1376,Pb,Lg3,Emission Line,15217.5
1534,Ra,Lb1,Emission Line,15236.0
1405,Bi,Lg1,Emission Line,15247.0
1773,Bk,La1,Emission Line,15308.0
1618,Pa,Lb6,Emission Line,15346.0
1542,Ra,Lb5,Emission Line,15376.0
1637,U,Ln,Emission Line,15400.0
1798,Cf,La2,Emission Line,15423.0
1530,Ra,Lb3,Emission Line,15445.0
393,Zr,Ka3,Emission Line,15466.0
1401,Bi,Lg2,Emission Line,15582.8
1593,Th,"Lb2,15",Emission Line,15587.9
1581,Th,Lb4,Emission Line,15642.0
1799,Cf,La1,Emission Line,15660.0
1406,Bi,Lg6,Emission Line,15684.1
394,Zr,Ka2,Emission Line,15691.0
1402,Bi,Lg3,Emission Line,15709.2
1560,Ac,Lb1,Emission Line,15713.0
1644,U,Lb6,Emission Line,15727.0
1431,Po,Lg1,Emission Line,15744.0
395,Zr,Ka1,Emission Line,15775.0
1568,Ac,Lb5,Emission Line,15791.0
360,Sr,Kb3,Emission Line,15824.7
361,Sr,Kb1,Emission Line,15835.0
1663,Np,Ln,Emission Line,15861.0
1556,Ac,Lb3,Emission Line,15931.0
362,Sr,Kb5,Emission Line,15969.0
1619,Pa,"Lb2,15",Emission Line,15990.0
363,Sr,Kb2,Emission Line,16083.4
1427,Po,Lg2,Emission Line,16088.0
1607,Pa,Lb4,Emission Line,16104.0
1670,Np,Lb6,Emission Line,16109.0
1586,Th,Lb1,Emission Line,16202.0
1594,Th,Lb5,Emission Line,16207.5
1432,Po,Lg6,Emission Line,16213.0
1428,Po,Lg3,Emission Line,16234.0
1457,At,Lg1,Emission Line,16252.0
411,Nb,Ka3,Emission Line,16288.0
1689,Pu,Ln,Emission Line,16333.0
1645,U,"Lb2,15",Emission Line,16387.7
1582,Th,Lb3,Emission Line,16426.0
1696,Pu,Lb6,Emission Line,16498.0
412,Nb,Ka2,Emission Line,16521.0
1633,U,Lb4,Emission Line,16575.0
1453,At,Lg2,Emission Line,16607.0
413,Nb,Ka1,Emission Line,16615.0
1620,Pa,Lb5,Emission Line,16639.0
1612,Pa,Lb1,Emission Line,16703.0
378,Y,Kb3,Emission Line,16727.4
379,Y,Kb1,Emission Line,16739.2
1458,At,Lg6,Emission Line,16745.0
1454,At,Lg3,Emission Line,16753.0
1483,Rn,Lg1,Emission Line,16770.0
1671,Np,"Lb2,15",Emission Line,16794.0
1715,Am,Ln,Emission Line,16819.0
380,Y,Kb5,Emission Line,16880.3
1722,Am,Lb6,Emission Line,16890.0
1608,Pa,Lb3,Emission Line,16931.0
381,Y,Kb2,Emission Line,17013.6
1659,Np,Lb4,Emission Line,17061.0
1646,U,Lb5,Emission Line,17063.2
1479,Rn,Lg2,Emission Line,17120.0
429,Mo,Ka3,Emission Line,17134.0
1697,Pu,"Lb2,15",Emission Line,17211.0
1638,U,Lb1,Emission Line,17220.0
1480,Rn,Lg3,Emission Line,17281.0
1748,Cm,Lb6,Emission Line,17286.0
1484,Rn,Lg6,Emission Line,17289.0
1509,Fr,Lg1,Emission Line,17304.0
1741,Cm,Ln,Emission Line,17314.0
430,Mo,Ka2,Emission Line,17375.0
1634,U,Lb3,Emission Line,17454.0
431,Mo,Ka1,Emission Line,17480.0
1672,Np,Lb5,Emission Line,17501.0
1685,Pu,Lb4,Emission Line,17557.0
1723,Am,"Lb2,15",Emission Line,17630.0
396,Zr,Kb3,Emission Line,17654.5
1505,Fr,Lg2,Emission Line,17659.0
397,Zr,Kb1,Emission Line,17668.2
1774,Bk,Lb6,Emission Line,17687.0
1664,Np,Lb1,Emission Line,17751.0
398,Zr,Kb5,Emission Line,17816.9
1767,Bk,Ln,Emission Line,17826.0
1506,Fr,Lg3,Emission Line,17829.0
1535,Ra,Lg1,Emission Line,17848.0
1510,Fr,Lg6,Emission Line,17849.0
1698,Pu,Lb5,Emission Line,17944.0
399,Zr,Kb2,Emission Line,17969.5
1660,Np,Lb3,Emission Line,17992.0
447,Tc,Ka3,Emission Line,18001.0
1749,Cm,"Lb2,15",Emission Line,18054.0
1711,Am,Lb4,Emission Line,18069.0
1800,Cf,Lb6,Emission Line,18094.0
1531,Ra,Lg2,Emission Line,18179.0
448,Tc,Ka2,Emission Line,18251.0
1690,Pu,Lb1,Emission Line,18296.0
1793,Cf,Ln,Emission Line,18347.0
1532,Ra,Lg3,Emission Line,18358.0
449,Tc,Ka1,Emission Line,18367.0
1724,Am,Lb5,Emission Line,18394.0
1561,Ac,Lg1,Emission Line,18408.0
1536,Ra,Lg6,Emission Line,18416.0
1775,Bk,"Lb2,15",Emission Line,18480.0
1686,Pu,Lb3,Emission Line,18541.0
1737,Cm,Lb4,Emission Line,18589.0
