Element,Line,Type,Energy
Co,Lb4,Emission Line,866.2
Tc,Lb4,Escape Peak (Si),895.4000000000001
Ti,La1,Sum Peak (2x),903.6
Ti,La2,Sum Peak (2x),903.6
Ti,Lb1,Sum Peak (2x),916.4
Cl,Ka2,Escape Peak (Si),920.0
Cl,Ka1,Escape Peak (Si),922.0
Tc,Lb3,Escape Peak (Si),925.3000000000002
Cu,La2,Emission Line,927.7
Cu,La1,Emission Line,927.7
Sc,Lb4,Sum Peak (2x),939.4
Sc,Lb3,Sum Peak (2x),939.4
Ni,Lb4,Emission Line,940.6
Ni,Lb3,Emission Line,942.4
Cu,Lb1,Emission Line,947.3
Ru,Lb1,Escape Peak (Si),982.8000000000002
Rh,La2,Escape Peak (Si),992.0999999999999
Rh,La1,Escape Peak (Si),996.8000000000002
O,Ka3,Sum Peak (2x),1003.0
Na,Ka3,Emission Line,1007.3
Zn,La2,Emission Line,1011.6
Zn,La1,Emission Line,1011.7
Cu,Lb4,Emission Line,1019.4
V,La1,Sum Peak (2x),1020.2
V,La2,Sum Peak (2x),1020.2
Cu,Lb3,Emission Line,1021.6
Zn,Lb1,Emission Line,1034.7
V,Lb1,Sum Peak (2x),1035.6
Na,Ka1,Emission Line,1040.3
Na,Ka2,Emission Line,1040.4
Ru,Lb4,Escape Peak (Si),1040.6999999999998
O,Ka2,Sum Peak (2x),1049.8
O,Ka1,Sum Peak (2x),1049.8
Ti,Lb4,Sum Peak (2x),1056.6
Ti,Lb3,Sum Peak (2x),1056.6
Ru,Lb3,Escape Peak (Si),1062.5
Ga,La2,Emission Line,1097.7
Ga,La1,Emission Line,1097.7
Zn,Lb4,Emission Line,1104.8
Zn,Lb3,Emission Line,1107.6
Cl,Kb3,Escape Peak (Si),1112.0
Cl,Kb1,Escape Peak (Si),1112.0
Ga,Lb1,Emission Line,1124.5
Pd,La2,Escape Peak (Si),1132.5
Rh,Lb1,Escape Peak (Si),1134.1
Pd,La1,Escape Peak (Si),1137.8000000000002
Cr,La1,Sum Peak (2x),1144.2
Cr,La2,Sum Peak (2x),1144.2
Cr,Lb1,Sum Peak (2x),1163.6
V,Lb4,Sum Peak (2x),1179.0
V,Lb3,Sum Peak (2x),1179.0
Ar,Ka3,Escape Peak (Si),1179.6
Ge,La2,Emission Line,1187.2
Ge,La1,Emission Line,1187.8
Rh,Lb4,Escape Peak (Si),1190.6999999999998
Ga,Lb4,Emission Line,1195.5
Ga,Lb3,Emission Line,1199.0
Mg,Ka3,Emission Line,1214.4
Rh,Lb3,Escape Peak (Si),1215.5
Ge,Lb1,Emission Line,1218.3
Mg,Ka2,Emission Line,1253.4
Mg,Ka1,Emission Line,1253.79
Ar,Ka2,Escape Peak (Si),1255.3000000000002
Ar,Ka1,Escape Peak (Si),1257.5
Mn,La1,Sum Peak (2x),1273.4
Mn,La2,Sum Peak (2x),1273.4
Ag,La2,Escape Peak (Si),1277.0
As,La1,Emission Line,1281.9
As,La2,Emission Line,1281.9
Ag,La1,Escape Peak (Si),1282.6999999999998
Pd,Lb1,Escape Peak (Si),1289.5
Ge,Lb4,Emission Line,1289.7
Ge,Lb3,Emission Line,1293.8
Mn,Lb1,Sum Peak (2x),1295.8
Mg,Kb1,Emission Line,1302.0
Mg,Kb3,Emission Line,1302.0
F,Ka3,Sum Peak (2x),1303.4
Cr,Lb3,Sum Peak (2x),1307.6
Cr,Lb4,Sum Peak (2x),1307.6
As,Lb1,Emission Line,1317.4
Pd,Lb4,Escape Peak (Si),1344.1
F,Ka1,Sum Peak (2x),1353.6
F,Ka2,Sum Peak (2x),1353.6
Pd,Lb3,Escape Peak (Si),1371.6999999999998
Se,La2,Emission Line,1378.4
Se,La1,Emission Line,1379.3
As,Lb4,Emission Line,1380.8
As,Lb3,Emission Line,1385.8
Fe,La1,Sum Peak (2x),1409.6
Fe,La2,Sum Peak (2x),1409.6
Se,Lb1,Emission Line,1418.8
Cd,La2,Escape Peak (Si),1426.1
Cd,La1,Escape Peak (Si),1432.8000000000002
Fe,Lb1,Sum Peak (2x),1435.8
Al,Ka3,Emission Line,1441.2
Mn,Lb4,Sum Peak (2x),1443.8
Mn,Lb3,Sum Peak (2x),1443.8
Ag,Lb1,Escape Peak (Si),1450.0
Br,La2,Emission Line,1480.0
Br,La1,Emission Line,1481.0
Se,Lb4,Emission Line,1485.5
Al,Ka2,Emission Line,1486.1
Al,Ka1,Emission Line,1486.5
Ar,Kb3,Escape Peak (Si),1490.0
Ar,Kb1,Escape Peak (Si),1490.1999999999998
Se,Lb3,Emission Line,1491.3
Ag,Lb4,Escape Peak (Si),1502.1999999999998
Br,Lb1,Emission Line,1526.0
K,Ka3,Escape Peak (Si),1529.8000000000002
Ag,Lb3,Escape Peak (Si),1533.0
Co,La1,Sum Peak (2x),1550.2
Co,La2,Sum Peak (2x),1550.2
Al,Kb1,Emission Line,1557.0
Al,Kb3,Emission Line,1557.0
In,La2,Escape Peak (Si),1578.6
Co,Lb1,Sum Peak (2x),1580.4
Kr,La2,Emission Line,1583.4
Fe,Lb4,Sum Peak (2x),1583.8
Fe,Lb3,Sum Peak (2x),1583.8
Kr,La1,Emission Line,1584.6
In,La1,Escape Peak (Si),1586.1
Br,Lb4,Emission Line,1593.0
Br,Lb3,Emission Line,1600.0
K,Ka2,Escape Peak (Si),1611.1
K,Ka1,Escape Peak (Si),1613.8000000000002
Cd,Lb1,Escape Peak (Si),1615.1
Kr,Lb1,Emission Line,1635.9
Ne,Ka3,Sum Peak (2x),1643.4
Cd,Lb4,Escape Peak (Si),1665.4
Si,Ka3,Emission Line,1689.3
Rb,La2,Emission Line,1691.0
Rb,La1,Emission Line,1692.0
Ne,Ka2,Sum Peak (2x),1697.0
Ne,Ka1,Sum Peak (2x),1697.2
Ni,La2,Sum Peak (2x),1697.4
Ni,La1,Sum Peak (2x),1697.4
Kr,Lb4,Emission Line,1698.8
Cd,Lb3,Escape Peak (Si),1699.6
Kr,Lb3,Emission Line,1706.6
