Element;Line;Type;Energy
Cu;L?1;Emission Line;947.3
Ru;L?1;Escape Peak (Si);982.8
Rh;L?2;Escape Peak (Si);992.1
Rh;L?1;Escape Peak (Si);996.8
O;K?3;Sum Peak (2x);1003
Na;K?3;Emission Line;1007.3
Zn;L?2;Emission Line;1011.6
Zn;L?1;Emission Line;1011.7
Cu;L?4;Emission Line;1019.4
V;L?1;Sum Peak (2x);1020.2
V;L?2;Sum Peak (2x);1020.2
Cu;L?3;Emission Line;1021.6
Zn;L?1;Emission Line;1034.7
V;L?1;Sum Peak (2x);1035.6
Na;K?1;Emission Line;1040.3
Na;K?2;Emission Line;1040.4
Ru;L?4;Escape Peak (Si);1040.7
O;K?2;Sum Peak (2x);1049.8
O;K?1;Sum Peak (2x);1049.8
Ti;L?4;Sum Peak (2x);1056.6
Ti;L?3;Sum Peak (2x);1056.6
Ru;L?3;Escape Peak (Si);1062.5
Ga;L?2;Emission Line;1097.7
Ga;L?1;Emission Line;1097.7
Zn;L?4;Emission Line;1104.8
Zn;L?3;Emission Line;1107.6
Cl;K?3;Escape Peak (Si);1112
Cl;K?1;Escape Peak (Si);1112
Ga;L?1;Emission Line;1124.5
Pd;L?2;Escape Peak (Si);1132.5
Rh;L?1;Escape Peak (Si);1134.1
Pd;L?1;Escape Peak (Si);1137.8
Cr;L?1;Sum Peak (2x);1144.2
Cr;L?2;Sum Peak (2x);1144.2
Cr;L?1;Sum Peak (2x);1163.6
V;L?4;Sum Peak (2x);1179
V;L?3;Sum Peak (2x);1179
Ar;K?3;Escape Peak (Si);1179.6
Ge;L?2;Emission Line;1187.2
Ge;L?1;Emission Line;1187.8
Rh;L?4;Escape Peak (Si);1190.7
Ga;L?4;Emission Line;1195.5
Ga;L?3;Emission Line;1199
Mg;K?3;Emission Line;1214.4
Rh;L?3;Escape Peak (Si);1215.5
Ge;L?1;Emission Line;1218.3
Mg;K?2;Emission Line;1253.4
Mg;K?1;Emission Line;1253.79
Ar;K?2;Escape Peak (Si);1255.3
Ar;K?1;Escape Peak (Si);1257.5
Mn;L?1;Sum Peak (2x);1273.4
Mn;L?2;Sum Peak (2x);1273.4
Ag;L?2;Escape Peak (Si);1277
As;L?1;Emission Line;1281.9
As;L?2;Emission Line;1281.9
Ag;L?1;Escape Peak (Si);1282.7
Pd;L?1;Escape Peak (Si);1289.5
Ge;L?4;Emission Line;1289.7
Ge;L?3;Emission Line;1293.8
Mn;L?1;Sum Peak (2x);1295.8
Mg;K?1;Emission Line;1302
Mg;K?3;Emission Line;1302
F;K?3;Sum Peak (2x);1303.4
Cr;L?3;Sum Peak (2x);1307.6
Cr;L?4;Sum Peak (2x);1307.6
As;L?1;Emission Line;1317.4
Pd;L?4;Escape Peak (Si);1344.1
F;K?1;Sum Peak (2x);1353.6
F;K?2;Sum Peak (2x);1353.6
Pd;L?3;Escape Peak (Si);1371.7
Se;L?2;Emission Line;1378.4
Se;L?1;Emission Line;1379.3
As;L?4;Emission Line;1380.8
