Element,Line,Type,Energy
Rb,Lg2,Escape Peak (Si),348.6999999999998
Rb,Lg3,Escape Peak (Si),349.6999999999998
B,Ka3,Sum Peak (2x),350.8
Ir,Mb,Escape Peak (Si),352.1999999999998
Sc,Ln,Emission Line,352.5
K,Lb3,Emission Line,360.3
K,Lb4,Emission Line,360.3
Y,Lb4,Escape Peak (Si),362.4000000000001
Cl,Ll,Sum Peak (2x),364.0
P,Lb4,Sum Peak (2x),364.0
P,Lb3,Sum Peak (2x),366.0
B,Ka2,Sum Peak (2x),366.6
B,Ka1,Sum Peak (2x),366.6
Cl,Ln,Sum Peak (2x),368.0
N,Ka3,Emission Line,372.6
Y,Lb3,Escape Peak (Si),374.1999999999998
In,Mz,Emission Line,377.9
Mo,Mz,Sum Peak (2x),387.0
N,Ka1,Emission Line,392.4
N,Ka2,Emission Line,392.4
Rn,Mz,Escape Peak (Si),393.0
Ti,Ll,Emission Line,395.1
Ti,Ln,Emission Line,401.5
Re,Mg,Escape Peak (Si),406.5
Sn,Mz,Emission Line,409.6
Ca,Lb4,Emission Line,413.0
Ca,Lb3,Emission Line,413.0
Au,Ma,Escape Peak (Si),418.4000000000001
Mo,Ln,Escape Peak (Si),418.6999999999998
Zr,Lb1,Escape Peak (Si),425.9000000000001
Pt,Mb,Escape Peak (Si),427.5
Tc,Mz,Sum Peak (2x),430.6
Tc,Ll,Escape Peak (Si),433.0
Ar,Ll,Sum Peak (2x),438.2
P,Kb3,Escape Peak (Si),438.5
P,Kb1,Escape Peak (Si),439.5
Sb,Mz,Emission Line,441.9
Ar,Ln,Sum Peak (2x),442.6
S,Lb4,Sum Peak (2x),445.8
V,Ll,Emission Line,445.8
S,Lb3,Sum Peak (2x),447.8
Ti,La2,Emission Line,451.8
Ti,La1,Emission Line,451.8
V,Ln,Emission Line,453.5
Fr,Mz,Escape Peak (Si),456.0
Ti,Lb1,Emission Line,458.2
Nb,La2,Escape Peak (Si),466.0
Nb,La1,Escape Peak (Si),468.6999999999998
Sc,Lb4,Emission Line,469.7
Sc,Lb3,Emission Line,469.7
Zr,Lb6,Escape Peak (Si),472.4000000000001
Ru,Mz,Sum Peak (2x),475.8
Os,Mg,Escape Peak (Si),478.5
Te,Mz,Emission Line,480.1
Zr,Lb4,Escape Peak (Si),488.5
Ra,Mz,Escape Peak (Si),490.0
Hg,Ma,Escape Peak (Si),491.0
Sr,Lg2,Escape Peak (Si),494.4000000000001
Rh,Mg,Emission Line,494.5
Sr,Lg3,Escape Peak (Si),495.9000000000001
Cr,Ll,Emission Line,500.0
O,Ka3,Emission Line,501.5
Zr,Lb3,Escape Peak (Si),502.1999999999998
Au,Mb,Escape Peak (Si),503.4000000000001
I,Mz,Emission Line,507.8
Cr,Ln,Emission Line,509.7
V,La2,Emission Line,510.1
V,La1,Emission Line,510.1
V,Lb1,Emission Line,517.8
K,Ll,Sum Peak (2x),519.6
Cl,Lb3,Sum Peak (2x),520.0
Cl,Lb4,Sum Peak (2x),520.0
Rh,Mz,Sum Peak (2x),522.8
O,Ka1,Emission Line,524.9
O,Ka2,Emission Line,524.9
K,Ln,Sum Peak (2x),525.0
Sb,Ma,Emission Line,528.2
Ti,Lb3,Emission Line,528.3
Ti,Lb4,Emission Line,528.3
Pd,Mg,Emission Line,530.3
C,Ka3,Sum Peak (2x),532.4
Sb,Mb,Emission Line,537.5
S,Ka3,Escape Peak (Si),541.0999999999999
Xe,Mz,Emission Line,542.3
Tc,Ln,Escape Peak (Si),549.0
Ru,Ll,Escape Peak (Si),551.9000000000001
C,Ka1,Sum Peak (2x),554.0
C,Ka2,Sum Peak (2x),554.0
Ir,Mg,Escape Peak (Si),554.6999999999998
Mn,Ll,Emission Line,556.4
Nb,Lb1,Escape Peak (Si),560.0
Tl,Ma,Escape Peak (Si),566.8000000000002
Mn,Ln,Emission Line,567.6
Cs,Mz,Emission Line,568.1
Ag,Mg,Emission Line,569.0
Pd,Mz,Sum Peak (2x),569.6
Cr,La2,Emission Line,572.1
Cr,La1,Emission Line,572.1
Te,Ma,Emission Line,573.0
Hg,Mb,Escape Peak (Si),581.0
Cr,Lb1,Emission Line,581.8
Te,Mb,Emission Line,583.4
Mo,La2,Escape Peak (Si),588.9000000000001
V,Lb4,Emission Line,589.5
V,Lb3,Emission Line,589.5
Ac,Mz,Escape Peak (Si),590.0
Mo,La1,Escape Peak (Si),592.0999999999999
Ba,Mz,Emission Line,603.7
Ca,Ll,Sum Peak (2x),603.8
Cd,Mg,Emission Line,607.7
S,Ka2,Escape Peak (Si),608.4000000000001
S,Ka1,Escape Peak (Si),609.5
